bundle_id,genre_id,genre_count
17,718bcd60-1797-491f-817c-e05572f82b53,1
17,7d0a9262-cf64-4af1-a674-d4e8948d8122,1
17,85c0ac04-9f32-4996-8a0f-c98803bedbd7,1
93,718bcd60-1797-491f-817c-e05572f82b53,1
93,85c0ac04-9f32-4996-8a0f-c98803bedbd7,1
125,718bcd60-1797-491f-817c-e05572f82b53,1
125,85c0ac04-9f32-4996-8a0f-c98803bedbd7,1
137,718bcd60-1797-491f-817c-e05572f82b53,3
137,7d0a9262-cf64-4af1-a674-d4e8948d8122,3
137,85c0ac04-9f32-4996-8a0f-c98803bedbd7,3
139,718bcd60-1797-491f-817c-e05572f82b53,1
139,85c0ac04-9f32-4996-8a0f-c98803bedbd7,2
145,718bcd60-1797-491f-817c-e05572f82b53,2
145,7d0a9262-cf64-4af1-a674-d4e8948d8122,2
145,ff34ceef-0597-4b3e-abb0-95faf96df93e,2
153,1e23ced5-f640-4457-bf0b-643f46c758e1,1
153,718bcd60-1797-491f-817c-e05572f82b53,5
153,7d0a9262-cf64-4af1-a674-d4e8948d8122,13
153,85c0ac04-9f32-4996-8a0f-c98803bedbd7,12
153,ff34ceef-0597-4b3e-abb0-95faf96df93e,2
157,718bcd60-1797-491f-817c-e05572f82b53,1
157,85c0ac04-9f32-4996-8a0f-c98803bedbd7,1
166,718bcd60-1797-491f-817c-e05572f82b53,1
166,85c0ac04-9f32-4996-8a0f-c98803bedbd7,1
169,58efd4d9-0a5b-4f0c-9d5a-0dd7808ef575,2
169,7d0a9262-cf64-4af1-a674-d4e8948d8122,2
169,ff34ceef-0597-4b3e-abb0-95faf96df93e,2
215,718bcd60-1797-491f-817c-e05572f82b53,1
215,7d0a9262-cf64-4af1-a674-d4e8948d8122,1
225,1e23ced5-f640-4457-bf0b-643f46c758e1,10
225,21bd5fa6-7c23-4270-b87e-af04e419f079,4
225,3a36f60e-49ee-496e-8e85-995918d55f4e,3
225,58efd4d9-0a5b-4f0c-9d5a-0dd7808ef575,7
225,718bcd60-1797-491f-817c-e05572f82b53,8
225,7d0a9262-cf64-4af1-a674-d4e8948d8122,22
225,85c0ac04-9f32-4996-8a0f-c98803bedbd7,12
225,ff34ceef-0597-4b3e-abb0-95faf96df93e,9
227,9c917322-9aa1-4788-ab7d-77e5d58b171e,6
228,9c917322-9aa1-4788-ab7d-77e5d58b171e,6
229,9c917322-9aa1-4788-ab7d-77e5d58b171e,7
