id,user_id,item_id,recommend,body,helpful_score,helpful_count,posted_date
b7f16f8e-614a-4a7b-bfe2-f534f168f7ff,7970982479,1250,1,249,0%,0,2011-11-05
2e335e56-e460-4921-a125-791707ac054c,7970982479,22200,1,36,0%,0,2011-07-15
a4629313-7c2b-4b88-9a5a-f26861ab5fc7,8035864385,227300,1,590,0%,0,2013-09-08
e9315842-e2a8-45da-9e80-8ecdfd15c30b,8035864385,239030,1,97,25%,1,2013-11-29
f652075d-c9bd-4551-a1b6-87fa015534d5,8007712555,248820,1,146,0%,0,2020-02-03
f61de8af-9a07-4fa8-a79c-63c1399258cb,8007712555,370360,1,49,0%,0,2015-12-04
119ecd3d-7cdb-4a8c-8b3d-4379e6eb9813,8007712555,237930,1,72,0%,0,2014-11-03
ff1d7b01-2d1c-4047-927c-c18f5416f38b,8007712555,263360,1,113,0%,0,2014-10-15
21f3a0e9-14a6-48c2-b5a6-1b2f54da8263,8007712555,107200,1,149,0%,0,2014-10-15
5d99ba4b-056e-48c5-a3b1-e169519c95a7,8007712555,224500,1,151,0%,0,2014-10-15
b65c5a4c-f991-49ed-b3f6-928fe391f70b,8002099482,250320,1,360,100%,2,2013-10-14
03be0e78-4b72-4ab1-a16e-2fe269e57dc3,8002099482,20920,1,599,100%,1,2012-07-28
3e362636-5ea8-4fe9-9627-ab2471b48703,8002099482,204100,1,264,100%,1,2012-06-02
0157387f-9db6-4730-9b74-1877a5580a45,8002099482,224600,1,85,50%,1,2014-06-29
402993bb-85a7-4f40-a9ab-348e3248fe05,8002099482,207610,1,141,0%,0,2012-11-22
6fb83d83-75fc-4305-8af8-7bfd8760027e,8002099482,108710,1,295,0%,0,2012-02-23
57a960f9-597e-4a09-aba4-7a1ea357075f,8026584251,211420,1,7,81%,35,2014-04-15
81e043e8-806b-4e58-b8dd-234ab216e94c,8026584251,211820,1,110,75%,12,2013-12-23
da124375-8499-4763-adbf-ceab87c5775b,8026584251,730,1,37,100%,5,2014-03-14
22f2caa6-223b-405a-b148-0307fd4fdc78,8026584251,204300,1,275,0%,0,2013-07-11
e185656c-68d9-427f-91ec-a5c7830cdf1c,8039117046,249130,1,24,88%,7,2014-05-05
