item_id,genre_id
10,85c0ac04-9f32-4996-8a0f-c98803bedbd7
1002,7d0a9262-cf64-4af1-a674-d4e8948d8122
100400,fbbd43a4-2e74-4a42-8758-0209b183951d
10090,85c0ac04-9f32-4996-8a0f-c98803bedbd7
100980,fbbd43a4-2e74-4a42-8758-0209b183951d
10100,718bcd60-1797-491f-817c-e05572f82b53
10110,718bcd60-1797-491f-817c-e05572f82b53
10120,85c0ac04-9f32-4996-8a0f-c98803bedbd7
10120,ff34ceef-0597-4b3e-abb0-95faf96df93e
10130,85c0ac04-9f32-4996-8a0f-c98803bedbd7
10140,5bc7529f-715e-40df-8957-00d9331fbe24
10150,85c0ac04-9f32-4996-8a0f-c98803bedbd7
10150,718bcd60-1797-491f-817c-e05572f82b53
10180,85c0ac04-9f32-4996-8a0f-c98803bedbd7
10195,85c0ac04-9f32-4996-8a0f-c98803bedbd7
10220,85c0ac04-9f32-4996-8a0f-c98803bedbd7
102200,718bcd60-1797-491f-817c-e05572f82b53
102200,1e23ced5-f640-4457-bf0b-643f46c758e1
102200,7d0a9262-cf64-4af1-a674-d4e8948d8122
10230,718bcd60-1797-491f-817c-e05572f82b53
10240,718bcd60-1797-491f-817c-e05572f82b53
102400,85c0ac04-9f32-4996-8a0f-c98803bedbd7
102400,7d0a9262-cf64-4af1-a674-d4e8948d8122
102400,58efd4d9-0a5b-4f0c-9d5a-0dd7808ef575
10250,21bd5fa6-7c23-4270-b87e-af04e419f079
102500,85c0ac04-9f32-4996-8a0f-c98803bedbd7
102500,1e23ced5-f640-4457-bf0b-643f46c758e1
102510,1e23ced5-f640-4457-bf0b-643f46c758e1
102510,85c0ac04-9f32-4996-8a0f-c98803bedbd7
102511,1e23ced5-f640-4457-bf0b-643f46c758e1
102511,85c0ac04-9f32-4996-8a0f-c98803bedbd7
10260,21bd5fa6-7c23-4270-b87e-af04e419f079
102600,7d0a9262-cf64-4af1-a674-d4e8948d8122
102600,85c0ac04-9f32-4996-8a0f-c98803bedbd7
102600,58efd4d9-0a5b-4f0c-9d5a-0dd7808ef575
102622,7d0a9262-cf64-4af1-a674-d4e8948d8122
102622,85c0ac04-9f32-4996-8a0f-c98803bedbd7
102622,58efd4d9-0a5b-4f0c-9d5a-0dd7808ef575
102623,85c0ac04-9f32-4996-8a0f-c98803bedbd7
102623,7d0a9262-cf64-4af1-a674-d4e8948d8122
102623,58efd4d9-0a5b-4f0c-9d5a-0dd7808ef575
10270,58efd4d9-0a5b-4f0c-9d5a-0dd7808ef575
10270,1e23ced5-f640-4457-bf0b-643f46c758e1
102700,43d85243-a808-4914-aaa6-55cf20a105e8
102700,85c0ac04-9f32-4996-8a0f-c98803bedbd7
102810,718bcd60-1797-491f-817c-e05572f82b53
102810,85c0ac04-9f32-4996-8a0f-c98803bedbd7
102810,7d0a9262-cf64-4af1-a674-d4e8948d8122
102840,85c0ac04-9f32-4996-8a0f-c98803bedbd7
102840,718bcd60-1797-491f-817c-e05572f82b53
102840,7d0a9262-cf64-4af1-a674-d4e8948d8122
102850,718bcd60-1797-491f-817c-e05572f82b53
102850,7d0a9262-cf64-4af1-a674-d4e8948d8122
102850,85c0ac04-9f32-4996-8a0f-c98803bedbd7
104000,7d0a9262-cf64-4af1-a674-d4e8948d8122
104000,58efd4d9-0a5b-4f0c-9d5a-0dd7808ef575
104020,ff34ceef-0597-4b3e-abb0-95faf96df93e
104020,7d0a9262-cf64-4af1-a674-d4e8948d8122
104200,718bcd60-1797-491f-817c-e05572f82b53
104200,7d0a9262-cf64-4af1-a674-d4e8948d8122
10460,85c0ac04-9f32-4996-8a0f-c98803bedbd7
104700,58efd4d9-0a5b-4f0c-9d5a-0dd7808ef575
104700,85c0ac04-9f32-4996-8a0f-c98803bedbd7
104700,7d0a9262-cf64-4af1-a674-d4e8948d8122
104700,43d85243-a808-4914-aaa6-55cf20a105e8
104700,5bc7529f-715e-40df-8957-00d9331fbe24
104900,718bcd60-1797-491f-817c-e05572f82b53
104900,85c0ac04-9f32-4996-8a0f-c98803bedbd7
