id,user_name,profile_image,items_count
7970982479,76561197970982479,0,277
8035864385,js41637,1,888
8007712555,evcentric,1,137
7963445855,Riot-Punch,1,328
8002099482,doctr,1,541
8004744620,MinxIsBetterThanPotatoes,1,371
7990951820,NitemarePK,1,304
8035296505,themanwich,1,258
8026584251,maplemage,1,629
8039117046,Wackky,1,0
8007659921,corrupted_soul,1,115
8079601835,76561198079601835,0,0
8103696236,jorellpogi,1,71
8027078629,cadmusthreepointoh,1,253
8064823719,76561198064823719,0,55
8071532177,MeaTCompany,1,14
8089393905,76561198089393905,0,103
8156664158,76561198156664158,0,59
8077246154,76561198077246154,0,174
8070234207,76561198070234207,0,33
8041660154,WeiEDKrSat,1,28
8010803705,thequeenpanda,1,524
8018556265,death-hunter,1,121
8122837537,turneddreamsintoanempire,1,96
8026039330,DJKamBer,1,152
8030389591,76561198030389591,0,12
8087659130,Rainbow-Dashie,1,59
8054746068,btuty8trgt,1,99
8043472122,76561198043472122,0,88
8062570934,MarbleShrine,1,185
8076096109,fdcfelipefdc,1,43
8117222320,hellom8o,1,0
8066849709,bbaekhyun,1,77
8056795460,Moomfina,1,50
8026157558,PPanther,1,62
8053289985,ABSOLUTLY_NOTHING,1,196
8062380099,devvonst,1,68
8037965617,Fr0stedLine,1,50
8059648579,starkillershadow553,1,0
8058373434,76561198058373434,0,49
8048353577,76561198048353577,0,95
8072190369,76561198072190369,0,32
8066046412,76561198066046412,0,48
8071250884,tru_mu_,1,62
8096285145,wirlom,1,50
8070565427,76561198070565427,0,75
8078235843,SavageEeEe,1,32
8076909484,76561198076909484,0,11
8066908262,76561198066908262,0,10
8129159264,KanadeTheNeko,1,73
8305694024,Leaf_Light_Moscow,1,5
8011733673,erickoiv,1,6
8086431390,GoAwayZach,1,59
8054540475,76561198054540475,0,106
8058876001,darkenkane,1,0
8100701221,76561198100701221,0,96
8085547365,76561198085547365,0,65
8061252210,76561198061252210,0,25
8059361962,OfficialShroomsy,1,51
8056147391,76561198056147391,0,7
8033538808,8Bit-Ninja,1,81
8071500702,76561198071500702,0,13
8099905030,76561198099905030,0,78
8047407223,76561198047407223,0,56
8048020950,latiano,1,72
8073719185,kongtape,1,73
8106550365,boydeer,1,149
8100297613,76561198100297613,0,74
8092825399,VVillis,1,168
8057605314,Bubblecup,1,0
8083226897,76561198083226897,0,6
8082525427,76561198082525427,0,0
8075277292,76561198075277292,0,14
8094630961,76561198094630961,0,20
8091016962,12549,1,64
8028895010,76561198028895010,0,190
8092411867,76561198092411867,0,20
8170198366,76561198170198366,0,27
8082027703,diego9031,1,200
8058169014,iampiepiepie,1,41
8079863506,76561198079863506,0,26
7999173629,jarrodtrim,1,161
8078738103,76561198078738103,0,33
8068964564,76561198068964564,0,12
8067936203,76561198067936203,0,46
8079770573,76561198079770573,0,30
8073052495,UpTheAss,1,10
8048504366,76561198048504366,0,0
7977385164,76561197977385164,0,12
8075491015,76561198075491015,0,34
8087586464,76561198087586464,0,31
8086878953,76561198086878953,0,185
8045022050,Derp-e,1,18
8070194565,76561198070194565,0,214
8104187800,Rivtex,1,51
8059463642,firefreddy,1,25
8053985682,UTNerd24,1,188
8052850911,sandwiches1,1,172
8093083895,76561198093083895,0,15
8138053270,76561198138053270,0,64
8062422084,76561198062422084,0,83
7998080236,steamurl,1,0
8056696376,lucaswerg,1,0
8065991640,Life-Of-Blu,1,64
8100886422,CaptianAutismo,1,62
8087444424,maxgp,1,77
8060827877,AppaTheSwagBison,1,77
8037380683,knightboy991,1,67
8034678103,76561198034678103,0,49
8075895633,76561198075895633,0,38
8066482493,TheDropix101,1,16
8031442694,kube134,1,476
8101807736,iamthekingofbrowntown,1,124
8092334812,MainScout,1,36
8087667012,gdxsd,1,79
8043608819,yookobz,1,174
8055519677,Posiblydead,1,255
8095258412,Mossy_Gaming,1,21
8093817084,76561198093817084,0,65
8102421718,76561198102421718,0,88
8079045885,76561198079045885,0,36
8087407319,76561198087407319,0,66
8074466513,76561198074466513,0,31
8048517110,damo131,1,20
8069523027,19702316748,1,94
8056505985,FrystHjarte,1,39
8056741844,76561198056741844,0,257
8040301510,sad-commie,1,306
8047635687,Sillybaby,1,0
8030567998,76561198030567998,0,75
8010674657,76561198010674657,0,0
8126946946,Coldaniel,1,133
8082552101,therealmorty,1,174
8027380739,itslonk,1,133
8065666007,DeDroidUreLookin4,1,52
8026747561,Berserklejerker,1,123
8088799241,76561198088799241,0,76
8061730629,76561198061730629,0,87
8024740070,YoHuNz,1,153
8073017892,possessioniskey,1,23
8072732874,76561198072732874,0,49
8093112529,76561198093112529,0,30
8131248794,sevqu,1,28
8060447950,76561198060447950,0,55
8136952974,whiteofwolfing,1,21
8056857968,76561198056857968,0,64
8084507508,sergarino,1,80
8061508205,PyroCreed,1,55
8052897627,76561198052897627,0,20
8081962345,76561198081962345,0,95
8039266268,76561198039266268,0,13
8094224872,76561198094224872,0,25
8073210139,76561198073210139,0,39
8076738682,Nozomikat,1,108
8076933844,76561198076933844,0,33
8072186059,76561198072186059,0,57
8069920369,xfluttersx,1,344
8068621601,76561198068621601,0,8
8056290589,76561198056290589,0,41
8021054286,thompyawesomeness,1,0
8075905679,ii_voltage_ii,1,456
8097762318,76561198097762318,0,22
8061518530,Hirukaz,1,81
8066728567,StelerForYou,1,68
8183396245,76561198183396245,0,24
8050051886,otteloo,1,115
8049648545,shinra420,1,42
8064054499,Xx-Woods,1,173
8064469140,kevinator23,1,71
8071836696,tonyballoney,1,38
8090715178,76561198090715178,0,82
8072380677,CatsWhale,1,0
8126693531,Child_Vs_Puddle,1,28
8073784601,76561198073784601,0,69
8098305358,mimimomoma,1,191
8102410011,76561198102410011,0,22
8092276029,de_Butl3r,1,17
8157999555,76561198157999555,0,3
8027947401,76561198027947401,0,27
8228257988,Bluezap1,1,50
8074200011,76561198074200011,0,4
8026525528,jonasdbomb,1,461
8059515552,L1J1N,1,34
8121529183,Lord_Exploit,1,48
8079106676,76561198079106676,0,83
8092244787,76561198092244787,0,33
8003388886,Sanctus94,1,75
7990792016,76561197990792016,0,113
8068415226,76561198068415226,0,0
8086661549,AVATAR715,1,186
8073987767,76561198073987767,0,24
8175213762,Fluxxyz,1,8
8092150873,76561198092150873,0,75
8168665156,YieuwMage,1,70
8078752187,76561198078752187,0,0
8071472087,Nfkted_CS,1,17
8078378562,A-Very-Sly-Person,1,45
8211054671,76561198211054671,0,0
7994493402,76561197994493402,0,151
8104221843,Koolcaz12,1,0
8065656175,76561198065656175,0,110
8188979775,76561198188979775,0,8
8090575193,97396295,1,22
8074777105,M1ss_P1nk,1,0
8080439887,xoFushiox,1,49
8126640317,76561198126640317,0,27
8083882871,DemonicWolvz,1,106
8010679125,DieMadchenschanderin,1,200
