bundle_id,item_id
496,263400
536,47400
480,491650
153,238530
755,359550
801,204180
1441,503710
1056,487270
758,427250
1161,271860
439,461850
356,313400
356,320120
663,352520
501,360380
845,317440
833,457820
338,444770
383,330840
268,411590
432,434500
844,342650
331,235380
770,339510
580,371420
1033,501030
396,351150
868,418340
459,447990
704,366890
225,378490
356,359440
1151,409560
1441,485640
813,463350
656,358090
356,450500
436,439930
709,410890
366,370940
268,6810
469,416610
364,380020
225,363940
1215,284750
664,11390
832,464080
1216,394680
1161,407940
395,355150
1418,3410
634,397980
461,220740
542,341470
432,464760
301,284950
17,237740
957,3830
728,335200
761,339510
322,325180
420,305780
1052,467220
1054,487270
394,382390
268,315550
232,220
663,46410
482,438010
768,410910
362,6850
433,434800
382,296970
505,428950
403,314450
383,8200
484,439930
461,327220
665,11360
772,439750
961,490820
956,397980
261,254700
1216,344440
844,317440
268,299250
356,263620
225,277510
236,240
1054,496590
230,387800
767,299540
338,332580
307,42910
285,348180
803,341500
1418,3560
433,434780
228,387770
747,428830
309,108200
1468,12710
125,396120
977,448720
519,424000
231,130
262,209080
376,383730
1013,402330
1107,346140
457,302950
291,431370
1399,427190
616,232090
438,466870
232,620
429,270550
1052,496990
1468,287260
760,242550
355,359220
728,390730
1103,474230
1266,513770
624,318100
869,266050
949,357290
616,1250
391,298560
425,394310
982,367040
301,344230
1053,476880
634,466790
356,442890
260,249990
646,254860
93,396120
574,65980
766,476490
225,46540
1248,430300
426,341090
511,262830
1153,218740
413,423810
362,8080
1267,513980
247,286570
535,438340
957,232790
956,403570
813,371670
1161,354920
380,257350
285,316140
347,385070
1355,431600
482,491650
1468,12770
1021,391070
269,281610
761,410910
488,252690
1009,17430
813,204180
384,313630
268,403980
321,266310
1024,462400
634,485410
279,343360
778,462730
1130,456040
616,35460
608,377450
757,289650
664,2540
1028,248330
1271,443330
1216,346140
1054,470060
381,284850
990,484950
770,461650
1418,3400
1107,347610
363,340490
139,250900
963,27900
268,390870
395,370510
362,224960
362,8190
528,331720
476,331181
1441,485920
746,485080
414,363610
1190,45740
852,460960
1194,457810
532,234650
649,471640
1216,347590
1268,33730
869,460940
244,336130
457,290990
416,314290
1455,357070
746,317380
728,316600
394,371120
464,485690
268,405720
767,396230
1182,383930
727,20900
429,257990
232,400
683,286570
450,398100
516,331720
954,403570
341,466350
225,433840
1055,467220
259,265000
362,225000
450,387110
284,258520
779,346560
1040,464760
893,359260
957,115100
768,365210
356,249330
334,453850
724,348340
243,310080
268,6840
1477,371200
1144,265550
1008,496550
534,485410
462,334270
611,470060
646,254840
623,391310
395,371670
690,35720
855,334070
501,416080
1356,285520
383,8210
334,507380
1040,475220
414,485730
1349,400450
580,340300
1350,337000
285,324730
153,327510
403,291010
646,301640
567,347560
1418,3460
383,31200
920,389160
433,475220
1128,445770
690,425210
1150,460750
509,362380
383,31290
627,344770
1250,485640
334,463110
1208,499100
383,8260
1140,211070
256,252690
169,331670
1404,404770
586,276440
240,300
320,337360
1293,430290
574,3910
441,444260
766,461650
339,371100
941,452450
772,375130
825,412600
1340,282900
274,226860
1008,407420
157,394920
17,357380
347,412170
280,424830
1418,3350
1233,495780
267,435800
1183,383100
501,314020
1055,448720
799,218640
780,232050
426,439930
375,366270
473,469730
334,339470
854,11370
153,327520
261,222480
770,356000
757,242050
851,445420
668,464960
425,356570
356,359450
377,450670
725,487620
1385,353640
230,377040
1190,220440
447,298630
243,377080
586,277540
1138,396850
225,315320
608,372940
747,389310
612,1250
634,444790
1246,7110
778,471170
1208,524600
358,450050
759,15370
362,224300
755,19830
633,348020
383,207610
1161,292620
1228,501220
770,339350
376,363890
594,454130
420,334710
1471,514160
512,408440
225,250460
362,6980
1229,11450
403,463350
237,50
956,388120
586,283470
1478,12660
653,261900
362,225020
802,92100
334,485390
531,302320
383,8220
399,204180
1190,226720
548,358460
503,453880
690,319910
1293,379520
813,351150
565,95300
763,466430
532,300550
533,388120
963,27940
729,289800
760,245490
955,403570
749,284710
319,200170
1392,416790
409,470140
1053,487330
335,237990
736,446640
1137,465780
232,300
1455,444940
1468,11450
356,418190
166,271590
302,307210
736,429470
728,263400
1478,12650
298,402430
729,289820
376,220700
936,338980
572,8870
1387,487220
268,407830
767,459310
457,333390
434,467220
335,281640
339,443750
379,257350
804,295690
774,439750
1011,401190
538,451880
403,377290
312,322330
604,40300
951,17480
362,211600
305,457680
767,312300
383,234710
279,293180
1021,410210
1190,21640
697,492370
663,46520
663,11340
1206,42140
571,276440
1243,24960
757,368500
801,351490
1183,345290
766,328550
375,366280
760,256290
528,258050
646,63380
663,11360
479,340650
420,399140
1190,235210
448,289130
356,365850
398,434420
827,266210
934,349220
665,345130
356,407020
772,446310
334,490980
263,316160
473,418070
232,550
1116,487330
542,461480
358,450040
293,348860
712,261640
1468,11590
948,437890
362,289690
757,311560
646,254920
646,254820
480,463220
845,386540
347,467000
375,366250
362,35130
761,318310
426,434800
855,371510
534,463040
694,377470
362,8170
232,500
225,251430
263,57640
153,275200
759,297000
362,28000
384,35460
1189,508990
1054,448790
398,397500
951,24790
232,20
437,343930
1390,325120
296,361190
957,388210
586,299020
403,405610
770,416640
426,487270
608,433000
